ID	NA-
ADK	1.6218
ADM	64.3434
ADM2	77.8504
ADM5	0
ADNP	0.1709
ADNP2	245.5247
ADO	10.809
ADORA1	11.834
ADORA2A	0.16
ADORA2B	6.8453
ADORA3	0
ADPGK	7.4176
ADPRH	49.053
ADPRHL1	8.5546
ADPRM	12.9062
ADPRS	16.0563
ADRA1A	100.9329
ADRA1B	12.0001
ADRA1D	0.1967
ADRA2A	17.3039
ADRA2B	2.7035
ADRA2C	0
ADRB1	21.0108
ADRB2	0.0299
ADRB3	2.034
ADRM1	0.4891
ADSL	6.1238
ADSS1	0
ADSS2	36.9282
ADTRP	2.9618
AEBP1	107.4453
AEBP2	7.5563
AEN	0.3571
AF196969.1	0
AF241726.1	0.0608
AFAP1	17.4196
AFAP1L1	1.0223
AFAP1L2	62.4942
AFDN	0.5163
AFF1	5.7529
AFF2	10.5316
AFF3	6.6482
AFF4	23.5293
AFG1L	59.7275
AFG3L2	16.3224
AFM	1.2415
AFMID	1.2746
AFP	7.4444
AFTPH	73.3482
AGA	3.9546
AGAP1	51.7579
AGAP2	3.9731
AGAP3	31.4386
AGAP4	0.1019
AGAP5	13.6144
AGAP6	17.9122
AGAP9	2.5292
AGBL1	0.0829
AGBL2	2.8519
AGBL3	24.0006
AGBL4	0
AGBL5	39.6082
AGER	0.0863
AGFG1	16.8929
AGFG2	0
AGGF1	25.5339
AGK	79.5858
AGL	0.7664
AGMAT	31.1657
AGMO	9.9826
AGO1	11.6083
AGO2	0.3114
AGO3	59.4854
AGO4	31.9812
AGPAT1	8.6032
AGPAT2	45.8211
AGPAT3	29.5775
AGPAT4	69.0985
AGPAT5	11.5281
AGPS	11.9069
AGR2	3.7478
AGR3	35.7621
AGRN	0.0533
AGRP	0.0717
AGT	6.0293
AGTPBP1	7.6612
AGTR1	0.7409
AGTR2	0.8075
AGTRAP	21.879
AGXT	0
AGXT2	16.1734
AHCTF1	1.4259
AHCY	2.6537
AHCYL1	61.8255
AHCYL2	146.0455
AHDC1	44.5171
AHI1	15.3702
AHNAK	0
AHNAK2	8.7615
AHR	68.3851
AHRR	57.3344
AHSA1	5.5489
AHSG	0.4499
AHSP	2.8887
AICDA	8.4805
AIDA	0.664
AIF1	160.7244
AIF1L	24.1566
AIFM1	22.2917
AIFM2	23.0363
AIFM3	24.127
AIG1	43.9566
AIM2	37.9368
AIMP1	1.3835
AIMP2	26.2146
AIP	8.3878
AIPL1	29.5019
AIRE	9.6562
AJAP1	6.5157
AJM1	0.1474
AJUBA	7.6285
AK1	39.7561
AK2	196.7229
AK3	27.2066
AK4	0.9461
AK5	14.643
AK6	46.3619
AK7	2.281
AK8	21.3024
AK9	3.7519
AKAIN1	0
AKAP1	2.1734
AKAP10	89.341
AKAP11	29.6343
AKAP12	24.9987
AKAP13	17.0241
AKAP14	0.4088
AKAP17A	34.5249
AKAP3	0.0502
AKAP4	24.9536
AKAP5	0
AKAP6	8.4572
AKAP7	0.0275
AKAP8	6.3839
AKAP8L	27.1739
AKAP9	6.6277
AKIP1	5.0661
AKIRIN1	0.0933
AKIRIN2	20.6511
AKNA	0.6069
AKNAD1	4.7956
AKR1A1	109.1722
AKR1B1	51.5871
AKR1B10	10.6226
AKR1B15	0
AKR1C1	7.7685
AKR1C2	0
AKR1C3	3430.0566
AKR1C4	0.0082
AKR1C8P	0
AKR1D1	5.2519
AKR1E2	0.0756
AKR7A2	0.0497
AKR7A3	0
AKT1	27.0841
AKT1S1	0.2801
AKT2	45.9445
AKT3	3.3405
AKTIP	0.0636
AL020996.2	0.1214
AL021546.1	0.1833
AL021997.2	2.0054
AL022238.3	0
AL022312.1	0
AL022318.4	2.5556
AL024498.2	2.2498
AL031178.1	0
AL031178.2	0
AL031315.1	0
AL031681.2	0
AL031708.1	0.0317
AL031777.2	2.4133
AL031847.1	0
AL033529.1	1.1905
AL034430.1	0
AL034430.2	0
AL035078.4	0
AL035425.2	0
AL035460.1	0.5726
AL035461.3	0
AL035699.1	0
AL049569.3	0.0479
AL049629.2	0
AL049634.2	0
AL049650.1	0
AL049697.1	0.3077
AL049779.1	0
AL049839.2	0
AL049844.1	0.2119
AL049844.3	0.0134
AL096711.2	0.4374
AL096814.1	0.09
AL096814.2	0
AL109811.3	0.3577
AL109827.1	0.4078
AL110118.1	0
AL117339.4	0
AL117348.2	0
AL121594.1	0
AL121753.1	1.0563
AL121758.1	0.4695
AL121845.2	0.0663
AL121845.3	2.7292
AL121899.2	11.1998
AL121900.1	0
AL132671.2	0.378
AL132780.3	0.081
AL133352.1	0
AL133353.2	0.5156
AL133410.3	0
AL133500.1	0
AL135905.2	2.8872
AL136295.1	0
AL136295.3	0.3236
AL136295.4	0.1049
AL136295.5	0.4906
AL136531.2	0
AL138752.2	0
AL139011.2	0.061
AL139142.2	0
AL139260.3	0
AL139300.1	0
AL139353.1	0
AL157392.5	3.1408
AL157935.2	0.1287
AL158151.3	1.6339
AL159163.1	0
AL160269.1	0
AL160272.2	0.7319
AL162231.1	0
AL162231.3	0
AL162377.3	1.8439
AL162417.1	0
AL162596.1	0
AL163195.3	0.4613
AL163636.1	0
AL353572.3	0
AL353579.1	0
AL353588.1	4.1877
AL354761.1	0.044
AL355102.2	0
AL355312.5	0.0444
AL355315.1	0
